Horsepower,Model_Year,Mileage,Engine_Size,Doors,Owner_Count,Doors,Brand,Transmission,Fuel_Type,Price
164.0,2014.0,102531.0,2.5,4.0,1.0,4.0,Ford,Manual,diesel,35728.9
346.0,2014.0,92483.0,3.4,3.0,2.0,3.0,Tesla,Automatic,electric,53069.85
310.0,2008.0,102531.0,3.4,3.0,1.0,3.0,Honda,Manual,diesel,46563.3
332.0,2011.0,108100.0,4.4,2.0,4.0,2.0,Ford,Manual,petrol,52288.0
197.0,2011.0,78596.0,3.0,3.0,2.0,3.0,Ford,Automatic,electric,44836.2
96.0,2014.0,102531.0,3.5,2.0,4.0,2.0,BMW,Manual,diesel,39844.6
222.0,2008.0,125457.0,4.2,3.0,4.0,3.0,Toyota,Manual,petrol,44013.15
226.0,2014.0,102531.0,1.6,4.0,2.0,4.0,Ford,Manual,electric,31527.35
387.0,2013.0,164829.0,3.0,2.0,4.0,2.0,Honda,Automatic,diesel,48725.55
116.0,2014.0,75283.0,2.5,4.0,3.0,4.0,Ford,Automatic,hybrid,43343.85
182.0,2014.0,69377.0,3.2,3.0,3.0,3.0,Hyundai,Automatic,electric,41207.15
201.0,2010.0,144045.0,2.5,4.0,1.0,4.0,Ford,Manual,diesel,39206.75
238.0,2010.0,76688.0,2.6,3.0,4.0,3.0,BMW,Manual,electric,44992.6
157.0,2014.0,22669.0,2.7,3.0,4.0,3.0,BMW,Automatic,diesel,41872.55
277.0,2018.0,109180.0,5.0,4.0,4.0,4.0,Hyundai,Manual,petrol,61629.0
343.0,2011.0,61792.0,3.0,4.0,4.0,4.0,BMW,Manual,petrol,50867.4
257.0,2014.0,102531.0,3.6,2.0,3.0,2.0,Hyundai,Automatic,hybrid,63761.850000000006
99.0,2010.0,13007.0,3.0,4.0,4.0,4.0,Toyota,Manual,diesel,44833.65
322.0,2020.0,102531.0,1.2,4.0,2.0,4.0,BMW,Automatic,hybrid,49288.2
226.0,2007.0,77788.0,3.0,3.0,3.0,3.0,Ford,Manual,petrol,49445.6
231.0,2006.0,102531.0,3.9,3.0,2.0,3.0,BMW,Automatic,hybrid,35517.35
151.0,2008.0,188306.0,2.7,2.0,4.0,2.0,Tesla,Automatic,electric,32725.7
148.0,2014.0,159195.0,2.1,3.0,3.0,3.0,Tesla,Manual,electric,37386.25
362.0,2019.0,143982.0,1.6,4.0,2.0,4.0,Toyota,Automatic,electric,50275.9
202.0,2014.0,76934.0,3.8,3.0,4.0,3.0,Honda,Automatic,diesel,43860.3
198.0,2022.0,35985.0,3.0,3.0,1.0,3.0,BMW,Manual,petrol,64039.75
257.0,2014.0,102531.0,1.9,2.0,1.0,2.0,Hyundai,Automatic,diesel,50811.75
101.0,2018.0,102531.0,2.6,4.0,4.0,4.0,Ford,Automatic,electric,44897.65
231.0,2014.0,119605.0,3.7,3.0,2.0,3.0,BMW,Automatic,petrol,40090.75
257.0,2012.0,12548.0,1.1,4.0,4.0,4.0,Hyundai,Automatic,hybrid,38931.6
273.0,2023.0,102531.0,1.3,3.0,4.0,3.0,BMW,Manual,diesel,48707.0
73.0,2014.0,53888.0,3.0,2.0,1.0,2.0,BMW,Manual,electric,28244.6
88.0,2017.0,181637.0,1.8,2.0,4.0,2.0,Hyundai,Automatic,diesel,32053.15
202.0,2014.0,102531.0,2.9,3.0,2.0,3.0,BMW,Manual,petrol,44804.15
356.0,2021.0,82924.0,2.8,2.0,4.0,2.0,Hyundai,Automatic,diesel,54500.8
210.0,2005.0,9507.0,4.0,4.0,4.0,4.0,BMW,Automatic,hybrid,47091.65
231.0,2014.0,172403.0,3.0,2.0,3.0,2.0,BMW,Manual,electric,55855.85
230.0,2022.0,149980.0,3.0,4.0,4.0,4.0,Honda,Automatic,petrol,44251.0
91.0,2014.0,144032.0,3.6,2.0,4.0,2.0,Hyundai,Automatic,hybrid,37906.4
266.0,2014.0,63706.0,4.5,2.0,4.0,2.0,Hyundai,Manual,diesel,56434.7
258.0,2014.0,135833.0,3.0,3.0,4.0,3.0,Toyota,Manual,petrol,52299.35
398.0,2011.0,140797.0,2.1,4.0,2.0,4.0,Toyota,Automatic,diesel,46974.15
231.0,2021.0,15599.0,2.8,3.0,4.0,3.0,BMW,Automatic,diesel,60613.05
172.0,2014.0,198209.0,3.0,3.0,1.0,3.0,BMW,Automatic,petrol,35597.55
340.0,2014.0,172932.0,2.1,2.0,4.0,2.0,BMW,Manual,electric,42867.4
226.0,2012.0,19123.0,3.0,2.0,2.0,2.0,Toyota,Manual,diesel,40797.85
337.0,2014.0,102531.0,3.0,2.0,3.0,2.0,Toyota,Automatic,hybrid,57703.9
258.0,2019.0,102531.0,2.2,2.0,4.0,2.0,Hyundai,Manual,petrol,49782.25
164.0,2010.0,123066.0,3.0,2.0,4.0,2.0,Toyota,Automatic,electric,39074.7
257.0,2020.0,17834.0,3.8,2.0,2.0,2.0,Hyundai,Manual,diesel,58010.3
128.0,2019.0,182804.0,4.3,4.0,2.0,4.0,Toyota,Manual,diesel,46596.8
82.0,2018.0,44023.0,3.0,2.0,3.0,2.0,Toyota,Manual,diesel,44900.85
395.0,2008.0,98823.0,1.7,2.0,4.0,2.0,Honda,Automatic,diesel,42929.85
90.0,2009.0,144596.0,1.5,3.0,1.0,3.0,Toyota,Automatic,petrol,27639.2
241.0,2018.0,186553.0,4.2,2.0,2.0,2.0,Toyota,Automatic,diesel,52309.35
130.0,2021.0,102531.0,4.2,4.0,4.0,4.0,Tesla,Manual,electric,51904.95
381.0,2015.0,117051.0,2.8,4.0,4.0,4.0,Tesla,Manual,electric,54138.45
265.0,2008.0,29399.0,2.6,2.0,4.0,2.0,Toyota,Manual,diesel,40926.05
330.0,2015.0,87476.0,2.8,2.0,3.0,2.0,Toyota,Automatic,hybrid,50283.2
226.0,2014.0,142852.0,1.8,2.0,3.0,2.0,Ford,Automatic,electric,32235.4
84.0,2014.0,193213.0,3.6,3.0,1.0,3.0,Toyota,Manual,hybrid,39398.35
349.0,2014.0,192840.0,4.0,2.0,1.0,2.0,Honda,Automatic,electric,55364.0
90.0,2021.0,107658.0,3.1,3.0,4.0,3.0,Ford,Manual,petrol,46065.1
241.0,2010.0,28241.0,1.1,4.0,3.0,4.0,BMW,Manual,petrol,38830.95
257.0,2014.0,93027.0,2.2,4.0,4.0,4.0,Hyundai,Manual,electric,38877.65
172.0,2013.0,102531.0,3.7,2.0,3.0,2.0,Hyundai,Automatic,hybrid,43069.9
211.0,2014.0,186593.0,4.5,3.0,1.0,3.0,Ford,Manual,hybrid,47356.35
361.0,2014.0,60107.0,3.0,4.0,1.0,4.0,Ford,Manual,electric,63108.65
284.0,2021.0,102531.0,3.0,2.0,4.0,2.0,Honda,Manual,electric,51743.25
77.0,2012.0,78631.0,2.2,2.0,3.0,2.0,BMW,Manual,electric,32815.45
331.0,2011.0,102531.0,3.7,4.0,3.0,4.0,BMW,Automatic,hybrid,57780.4
334.0,2022.0,102531.0,1.3,3.0,1.0,3.0,BMW,Manual,hybrid,46715.4
305.0,2019.0,116451.0,4.8,3.0,4.0,3.0,Ford,Manual,hybrid,60302.45
331.0,2012.0,198065.0,4.3,2.0,4.0,2.0,Tesla,Manual,electric,52950.75
197.0,2008.0,11922.0,4.2,4.0,1.0,4.0,Ford,Manual,hybrid,51719.9
138.0,2008.0,102531.0,3.6,2.0,2.0,2.0,Hyundai,Manual,diesel,37088.3
143.0,2007.0,56468.0,2.1,2.0,4.0,2.0,Tesla,Manual,electric,33451.6
231.0,2014.0,102531.0,3.9,2.0,1.0,2.0,BMW,Automatic,petrol,61707.4
262.0,2023.0,102531.0,3.4,4.0,4.0,4.0,BMW,Automatic,hybrid,53570.4
231.0,2014.0,102531.0,4.7,4.0,3.0,4.0,BMW,Manual,diesel,50340.65
333.0,2023.0,54907.0,2.2,2.0,3.0,2.0,Toyota,Manual,electric,57630.65
226.0,2008.0,67543.0,2.6,2.0,3.0,2.0,Toyota,Automatic,hybrid,41438.85
226.0,2014.0,101950.0,3.0,2.0,1.0,2.0,Toyota,Manual,hybrid,57784.5
226.0,2014.0,184357.0,1.1,2.0,4.0,2.0,Ford,Automatic,diesel,34019.15
226.0,2017.0,22634.0,4.3,2.0,3.0,2.0,Ford,Automatic,diesel,63408.3
83.0,2014.0,34545.0,1.2,4.0,3.0,4.0,Hyundai,Manual,diesel,39894.75
75.0,2014.0,102531.0,1.5,3.0,1.0,3.0,Toyota,Automatic,diesel,34708.8
226.0,2021.0,191023.0,1.8,2.0,4.0,2.0,Toyota,Automatic,diesel,37807.85
196.0,2014.0,195208.0,1.1,3.0,4.0,3.0,Ford,Automatic,diesel,33229.6
161.0,2005.0,102531.0,1.8,2.0,2.0,2.0,Ford,Manual,petrol,25805.6
230.0,2014.0,135842.0,2.6,4.0,4.0,4.0,Honda,Automatic,petrol,46721.9
226.0,2014.0,146554.0,2.1,2.0,4.0,2.0,Ford,Manual,electric,39507.3
230.0,2007.0,116077.0,1.3,4.0,4.0,4.0,Honda,Manual,hybrid,31022.15
219.0,2014.0,25169.0,3.8,2.0,4.0,2.0,Honda,Automatic,diesel,54878.55
134.0,2005.0,40050.0,2.9,2.0,2.0,2.0,BMW,Manual,diesel,37118.5
127.0,2008.0,109733.0,3.0,3.0,4.0,3.0,Toyota,Manual,diesel,41548.35
226.0,2014.0,102531.0,2.3,3.0,2.0,3.0,Toyota,Automatic,electric,34255.6
231.0,2008.0,102531.0,2.7,2.0,2.0,2.0,BMW,Manual,petrol,39225.05
243.0,2009.0,80591.0,1.1,3.0,4.0,3.0,Ford,Automatic,diesel,33585.45
231.0,2014.0,102531.0,2.0,4.0,4.0,4.0,BMW,Manual,diesel,23596.9
257.0,2007.0,102531.0,3.7,3.0,3.0,3.0,Hyundai,Manual,hybrid,51833.2
300.0,2010.0,99702.0,2.6,2.0,2.0,2.0,Tesla,Automatic,electric,45601.9
376.0,2009.0,153117.0,4.7,2.0,1.0,2.0,Ford,Manual,diesel,58526.15
100.0,2006.0,90820.0,4.8,4.0,3.0,4.0,Honda,Manual,electric,42576.0
177.0,2006.0,10192.0,3.1,4.0,3.0,4.0,Hyundai,Automatic,hybrid,43582.4
350.0,2014.0,102531.0,3.3,4.0,2.0,4.0,BMW,Manual,petrol,63187.45
245.0,2014.0,49512.0,3.0,4.0,3.0,4.0,Hyundai,Automatic,hybrid,46391.4
246.0,2019.0,166769.0,3.4,2.0,4.0,2.0,Toyota,Manual,diesel,50663.55
257.0,2019.0,25092.0,1.8,2.0,4.0,2.0,Hyundai,Manual,electric,42019.4
249.0,2006.0,102531.0,3.6,4.0,1.0,4.0,Toyota,Manual,electric,44351.15
309.0,2014.0,102531.0,2.7,2.0,4.0,2.0,BMW,Automatic,diesel,44302.3
364.0,2021.0,102531.0,3.5,2.0,4.0,2.0,BMW,Automatic,hybrid,56379.75
83.0,2014.0,125725.0,4.9,3.0,4.0,3.0,Hyundai,Automatic,hybrid,50738.75
127.0,2017.0,102531.0,2.4,3.0,4.0,3.0,Toyota,Manual,electric,34143.3
144.0,2019.0,128425.0,1.7,3.0,1.0,3.0,Honda,Automatic,petrol,39726.75
231.0,2008.0,101324.0,3.0,4.0,4.0,4.0,BMW,Manual,hybrid,30034.800000000003
161.0,2018.0,131204.0,4.7,3.0,1.0,3.0,BMW,Manual,petrol,56239.8
278.0,2021.0,157215.0,4.7,2.0,4.0,2.0,Ford,Manual,hybrid,60269.25
149.0,2014.0,121062.0,4.6,4.0,1.0,4.0,Toyota,Automatic,petrol,49289.9
313.0,2014.0,102531.0,2.3,4.0,2.0,4.0,Honda,Automatic,petrol,46711.45
91.0,2009.0,130291.0,4.0,2.0,1.0,2.0,Ford,Automatic,petrol,42514.45
277.0,2015.0,102531.0,4.3,2.0,4.0,2.0,Toyota,Automatic,petrol,56738.8
274.0,2005.0,50783.0,2.6,3.0,3.0,3.0,Ford,Automatic,petrol,40903.85
322.0,2022.0,116860.0,3.0,2.0,4.0,2.0,Tesla,Automatic,electric,43997.0
258.0,2016.0,108134.0,2.8,2.0,4.0,2.0,Tesla,Automatic,electric,45068.3
370.0,2016.0,115814.0,4.3,4.0,3.0,4.0,Honda,Automatic,diesel,58468.3
285.0,2014.0,102531.0,2.9,3.0,4.0,3.0,Hyundai,Manual,hybrid,46029.75
243.0,2021.0,102531.0,3.0,2.0,4.0,2.0,Tesla,Automatic,electric,59237.45
227.0,2014.0,48988.0,3.4,2.0,4.0,2.0,Toyota,Manual,electric,45666.6
230.0,2023.0,102531.0,1.0,2.0,4.0,2.0,Honda,Manual,hybrid,38757.85
316.0,2014.0,22165.0,4.5,2.0,4.0,2.0,Tesla,Automatic,electric,56199.75
356.0,2020.0,17150.0,3.8,3.0,4.0,3.0,Honda,Manual,petrol,64381.5
217.0,2014.0,74778.0,4.4,3.0,2.0,3.0,Ford,Automatic,hybrid,59398.1
231.0,2019.0,136743.0,3.2,4.0,4.0,4.0,BMW,Manual,petrol,51035.85
226.0,2014.0,102531.0,2.6,4.0,3.0,4.0,Toyota,Manual,electric,40619.55
368.0,2023.0,67576.0,5.0,2.0,4.0,2.0,Hyundai,Automatic,hybrid,67918.2
315.0,2014.0,152702.0,3.7,2.0,2.0,2.0,Tesla,Manual,electric,46461.9
356.0,2023.0,62745.0,2.6,4.0,4.0,4.0,Ford,Manual,petrol,63718.75
81.0,2012.0,119110.0,3.0,2.0,2.0,2.0,Honda,Manual,hybrid,32736.5
399.0,2014.0,102531.0,1.5,4.0,2.0,4.0,BMW,Automatic,petrol,41983.6
344.0,2016.0,103315.0,3.0,4.0,2.0,4.0,Hyundai,Automatic,petrol,49946.25
256.0,2012.0,21978.0,2.2,2.0,2.0,2.0,Toyota,Automatic,diesel,49011.1
395.0,2014.0,83097.0,3.0,3.0,1.0,3.0,Ford,Manual,diesel,47361.15
259.0,2012.0,59711.0,2.7,2.0,4.0,2.0,BMW,Automatic,petrol,47832.45
110.0,2016.0,84198.0,4.2,2.0,2.0,2.0,Toyota,Automatic,diesel,51050.1
76.0,2020.0,29918.0,4.0,2.0,4.0,2.0,Tesla,Automatic,electric,50186.1
345.0,2014.0,49225.0,3.0,2.0,1.0,2.0,BMW,Automatic,petrol,66928.75
358.0,2014.0,100028.0,3.0,2.0,2.0,2.0,Honda,Manual,petrol,56333.6
144.0,2014.0,35177.0,3.0,2.0,3.0,2.0,Tesla,Automatic,electric,52494.15
181.0,2019.0,189736.0,2.7,3.0,4.0,3.0,BMW,Manual,electric,41579.2
311.0,2014.0,92793.0,3.0,3.0,4.0,3.0,Ford,Manual,hybrid,40110.35
367.0,2023.0,164359.0,4.0,3.0,4.0,3.0,Honda,Automatic,petrol,62606.05
274.0,2014.0,128145.0,3.0,3.0,2.0,3.0,Honda,Automatic,petrol,41692.75
108.0,2013.0,47915.0,4.9,2.0,4.0,2.0,Toyota,Automatic,hybrid,52588.25
355.0,2009.0,102531.0,3.7,2.0,3.0,2.0,Honda,Automatic,hybrid,53267.35
230.0,2016.0,171229.0,1.9,3.0,4.0,3.0,Honda,Manual,electric,41405.55
257.0,2010.0,189951.0,1.5,2.0,1.0,2.0,Hyundai,Manual,hybrid,31133.45
228.0,2014.0,115724.0,2.0,3.0,4.0,3.0,Toyota,Manual,petrol,48996.8
282.0,2014.0,22158.0,3.9,4.0,3.0,4.0,Ford,Automatic,hybrid,51553.1
226.0,2012.0,85720.0,3.3,2.0,3.0,2.0,Toyota,Manual,petrol,49672.0
370.0,2019.0,27149.0,3.1,4.0,3.0,4.0,Tesla,Manual,electric,59199.55
198.0,2012.0,102531.0,4.6,3.0,4.0,3.0,Tesla,Automatic,electric,52625.9
226.0,2014.0,102531.0,3.9,2.0,4.0,2.0,Ford,Manual,electric,67866.0
152.0,2009.0,192223.0,2.3,2.0,4.0,2.0,Toyota,Automatic,electric,27919.85
230.0,2014.0,44322.0,3.0,2.0,4.0,2.0,Honda,Automatic,electric,61320.9
200.0,2007.0,174668.0,4.1,2.0,4.0,2.0,Honda,Automatic,diesel,38951.6
232.0,2016.0,56690.0,2.8,4.0,1.0,4.0,Honda,Automatic,hybrid,52413.5
133.0,2014.0,14304.0,1.4,3.0,4.0,3.0,Honda,Automatic,diesel,39019.8
266.0,2014.0,191258.0,3.6,2.0,4.0,2.0,Hyundai,Automatic,electric,47463.1
361.0,2010.0,186056.0,2.6,3.0,4.0,3.0,Honda,Manual,hybrid,45206.2
91.0,2023.0,120248.0,2.3,4.0,4.0,4.0,Honda,Automatic,hybrid,41423.6
114.0,2014.0,194313.0,2.3,2.0,2.0,2.0,Ford,Manual,hybrid,38005.35
70.0,2013.0,87494.0,2.4,4.0,4.0,4.0,Hyundai,Manual,hybrid,38600.3
339.0,2022.0,125627.0,2.2,2.0,1.0,2.0,Hyundai,Manual,electric,55141.65
142.0,2006.0,121850.0,4.5,3.0,3.0,3.0,Ford,Manual,petrol,39560.5
224.0,2023.0,102531.0,3.0,3.0,2.0,3.0,Ford,Automatic,diesel,45446.2
226.0,2021.0,43712.0,2.0,2.0,1.0,2.0,Toyota,Automatic,diesel,46661.4
256.0,2013.0,24515.0,3.0,4.0,4.0,4.0,Hyundai,Manual,hybrid,44090.25
180.0,2015.0,83343.0,3.0,2.0,3.0,2.0,BMW,Manual,petrol,44455.85
217.0,2014.0,35020.0,3.2,2.0,2.0,2.0,Tesla,Automatic,electric,52067.0
261.0,2011.0,147513.0,3.2,2.0,4.0,2.0,Tesla,Automatic,electric,45767.35
120.0,2023.0,102531.0,3.0,4.0,1.0,4.0,Tesla,Manual,electric,52606.15
169.0,2008.0,150251.0,4.8,2.0,2.0,2.0,BMW,Automatic,diesel,45182.45
191.0,2022.0,104372.0,4.1,4.0,3.0,4.0,Hyundai,Manual,diesel,55714.4
261.0,2014.0,102531.0,3.0,3.0,2.0,3.0,BMW,Automatic,electric,34075.8
282.0,2020.0,194492.0,3.2,4.0,3.0,4.0,Toyota,Automatic,petrol,51130.4
148.0,2014.0,102531.0,3.0,4.0,4.0,4.0,Hyundai,Automatic,diesel,27019.1
101.0,2014.0,102531.0,3.0,2.0,3.0,2.0,Hyundai,Manual,petrol,49596.85
160.0,2012.0,102531.0,4.2,3.0,4.0,3.0,BMW,Manual,petrol,44007.75
332.0,2014.0,89853.0,4.6,3.0,1.0,3.0,Tesla,Manual,electric,61877.35
84.0,2014.0,102531.0,1.6,4.0,1.0,4.0,Tesla,Manual,electric,30252.75
172.0,2017.0,147487.0,2.6,4.0,1.0,4.0,Honda,Manual,diesel,41520.65
351.0,2021.0,5799.0,3.3,4.0,4.0,4.0,BMW,Automatic,petrol,61806.05
136.0,2006.0,102531.0,3.0,3.0,3.0,3.0,Tesla,Manual,electric,29836.85
248.0,2017.0,108235.0,4.4,3.0,1.0,3.0,Toyota,Automatic,electric,58533.25
95.0,2022.0,111968.0,3.0,3.0,2.0,3.0,Tesla,Automatic,electric,53406.6
226.0,2023.0,180635.0,3.0,2.0,4.0,2.0,Ford,Manual,hybrid,34309.25
172.0,2014.0,43138.0,4.5,2.0,4.0,2.0,BMW,Automatic,diesel,56694.1
99.0,2016.0,36218.0,4.6,2.0,2.0,2.0,Ford,Automatic,diesel,55084.1
166.0,2020.0,134941.0,3.6,4.0,2.0,4.0,Toyota,Manual,petrol,50121.95
393.0,2005.0,192167.0,3.7,2.0,4.0,2.0,BMW,Automatic,petrol,45760.65
334.0,2014.0,110649.0,3.0,2.0,1.0,2.0,Ford,Automatic,diesel,67052.55
226.0,2014.0,5840.0,4.4,2.0,2.0,2.0,Ford,Automatic,hybrid,47426.0
308.0,2011.0,121378.0,4.2,2.0,4.0,2.0,Tesla,Automatic,electric,54468.1
310.0,2007.0,102531.0,1.5,4.0,2.0,4.0,Ford,Automatic,electric,34834.7
97.0,2014.0,123906.0,2.7,3.0,2.0,3.0,BMW,Automatic,petrol,42801.7
84.0,2014.0,78643.0,4.9,2.0,2.0,2.0,Tesla,Manual,electric,48761.85
313.0,2012.0,25422.0,4.9,3.0,2.0,3.0,BMW,Automatic,hybrid,61319.9
79.0,2010.0,102531.0,3.5,2.0,2.0,2.0,Honda,Manual,hybrid,34489.45
118.0,2014.0,28039.0,4.9,4.0,4.0,4.0,Hyundai,Automatic,petrol,52648.05
