Car_ID,Brand,Model_Year,Engine_Size,Fuel_Type,Transmission,Mileage,Doors,Owner_Count,Horsepower,Price
742,Ford,2008.0,4.6,Petrol,Automatic,51728.0,3.0,,,63143.6
1014,Hyundai,,3.7,Diesel,Automatic,42763.0,4.0,4.0,354.0,59506.85
440,Tesla,,,Diesel,Automatic,196758.0,,4.0,243.0,39902.1
272,Ford,2011.0,2.8,Electric,Automatic,52780.0,3.0,1.0,264.0,47700.0
185,Toyota,2008.0,2300 cc,Diesel,Automatic,,4.0,,178.0,34080.3
940,Honda,2020.0,1.7,Diesel,Automatic,154598.0,,,319.0,49241.1
245,Ford,2008.0,,Diesel,Manual,190616.0,,4.0,104.0,21838.199999999997
932,Ford,,4.0,Petrol,Manual,,3.0,1.0,,61995.45
446,Hyundai,19,4.8,hybrid,Manual,139847.0,,,88.0,48434.65
597,Tesla,2012.0,1.7,Diesel,Automatic,6074.0,,4.0,182.0,38018.3
818,Toyota,2008.0,2.9,Electric,Manual,78551.0,4.0,1.0,115.0,38930.45
1273,Ford,7,3900 cc,Hybrid,Manual,113943.0,4.0,3.0,362.0,48770.85
1677,BMW,19,2.6,ELECTRIC,Automatic,,4.0,4.0,263.0,0.0
487,Tesla,,1.8,Diesel,Automatic,170418.0,,2.0,,43279.1
681,Honda,2007.0,1100 cc,Hybrid,Manual,,4.0,2.0,114.0,31366.7
416,BMW,2013.0,4300 cc,Diesel,Automatic,70792.0,,,140.0,51222.4
274,Toyota,11,4.4,Petrol,Automatic,47503.0,3.0,1.0,375.0,62133.85
1472,Ford,2006.0,,Diesel,Automatic,37705.0,2.0,3.0,348.0,42942.75
1830,BMW,2008.0,1.2,Electric,Automatic,52006.0,,1.0,,30355.7
1455,BMW,2006.0,,Electric,Manual,,4.0,4.0,210.0,27120.1
251,Ford,2023.0,4.6,Hybrid,Automatic,147744.0,,3.0,169.0,55865.8
414,Honda,17,4.0,Electric,Automatic,192840.0,,1.0,349.0,55364.0
1386,Honda,19,4.8,Diesel,Manual,149867.0,2.0,1.0,241.0,61136.65
1308,BMW,,3.9,Diesel,Manual,119930.0,4.0,,373.0,48207.5
716,Ford,2010.0,2.5,Diesel,Manual,144045.0,4.0,1.0,201.0,39206.75
311,BMW,2007.0,4.1,Petrol,Automatic,24797.0,4.0,4.0,319.0,52751.15
927,Tesla,2011.0,3.2,Electric,Automatic,147513.0,2.0,,261.0,45767.35
382,Honda,2017.0,2.3,Diesel,Automatic,95751.0,,4.0,178.0,38734.45
1566,Hyundai,2016.0,4.0,Petrol,Automatic,70018.0,,2.0,162.0,52256.1
426,Ford,15,3.8,petrol,Automatic,84803.0,3.0,3.0,288.0,52569.85
1875,Toyota,2013.0,1.7,Diesel,Automatic,,3.0,3.0,310.0,40681.6
533,BMW,2017.0,4.2,Electric,Manual,,2.0,,370.0,66138.15
753,Ford,,3.9,Hybrid,Automatic,,,,86.0,44665.05
766,Honda,2013.0,,DIESEL,Automatic,27024.0,3.0,,87.0,43669.8
1357,Honda,2009.0,3.7,HYBRID,Automatic,,2.0,3.0,355.0,53267.35
409,Tesla,2006.0,3.6,Petrol,Manual,74687.0,3.0,,279.0,46819.65
1615,Hyundai,2017.0,3.8,Hybrid,Automatic,37833.0,,1.0,257.0,60252.35
695,Ford,2017.0,4.4,petrol,Automatic,101748.0,3.0,,357.0,65616.6
1739,BMW,2015.0,1200 cc,Electric,Automatic,20052.0,4.0,2.0,271.0,43174.4
549,Honda,2017.0,,Petrol,Manual,17975.0,,,5000.0,48766.25
937,Ford,2005.0,1.1,Electric,Automatic,76939.0,4.0,3.0,101.0,23833.05
1390,Toyota,2021.0,1.7,Electric,Automatic,75467.0,2.0,2.0,391.0,52187.65
1608,Hyundai,,4.2,Electric,Manual,171415.0,4.0,4.0,345.0,53952.25
1940,Toyota,,4.2,Electric,Automatic,179297.0,4.0,4.0,381.0,48371.15
1482,Honda,2019.0,2000 cc,Diesel,Manual,97307.0,4.0,3.0,115.0,41378.65
183,BMW,10,,Electric,Automatic,91713.0,3.0,3.0,5000.0,44894.35
1941,Honda,10,4.4,Petrol,Manual,196082.0,4.0,,75.0,35394.9
1161,Tesla,2011.0,1.4,Diesel,Manual,118561.0,2.0,1.0,85.0,29599.95
171,Ford,2010.0,,Hybrid,Automatic,73049.0,2.0,1.0,86.0,44086.55
293,Ford,20,5.0,Electric,Manual,135156.0,4.0,,357.0,65391.2
562,Honda,,2.3,petrol,Manual,36568.0,2.0,2.0,221.0,45506.6
1457,Ford,2018.0,2.6,Electric,Automatic,,4.0,4.0,101.0,44897.65
1877,Hyundai,2009.0,4.5,Electric,Manual,98948.0,4.0,,,49917.6
1652,Toyota,2005.0,3.0,hybrid,Manual,166929.0,4.0,1.0,242.0,38945.55
850,Honda,2011.0,2600 cc,diesel,Manual,47678.0,2.0,,178.0,43781.1
273,Honda,2017.0,1.7,Petrol,Manual,193210.0,,3.0,80.0,30810.5
1550,BMW,21,4.7,Diesel,Automatic,186601.0,3.0,3.0,111.0,51687.95
1035,Ford,2023.0,3.5,Diesel,Automatic,74487.0,,2.0,,62032.65
1744,Ford,,,Petrol,Manual,153346.0,3.0,,87.0,36356.7
372,Hyundai,,,ELECTRIC,Automatic,140797.0,,3.0,126.0,36478.15
1670,Honda,8,3700 cc,Hybrid,Automatic,,3.0,1.0,224.0,-10000.0
722,Toyota,,1.6,ELECTRIC,Automatic,167357.0,,4.0,158.0,26532.15
734,Hyundai,2023.0,4.0,Electric,Manual,90053.0,3.0,4.0,,54567.35
778,BMW,2017.0,,Electric,Automatic,140607.0,2.0,2.0,337.0,56620.65
519,Ford,2009.0,4.0,PETROL,Automatic,130291.0,2.0,1.0,91.0,42514.45
335,Tesla,2015.0,1600 cc,HYBRID,Manual,137631.0,4.0,1.0,203.0,38232.45
846,Tesla,2005.0,3.6,Electric,Automatic,55613.0,3.0,4.0,313.0,47946.35
1252,BMW,7,1.5,Petrol,Automatic,,4.0,2.0,399.0,41983.6
1053,BMW,2023.0,,Diesel,Manual,116193.0,4.0,4.0,,46974.35
1924,BMW,2008.0,4.8,Diesel,Automatic,150251.0,,2.0,169.0,45182.45
16,Ford,2023.0,1.2,Hybrid,Automatic,75864.0,2.0,3.0,226.0,46896.8
708,Tesla,2023.0,2400 cc,Hybrid,Automatic,160260.0,3.0,1.0,274.0,50892.0
901,Hyundai,2010.0,,Electric,Automatic,,2.0,1.0,390.0,-10000.0
1980,Ford,2023.0,3900 cc,Petrol,Manual,177614.0,,,144.0,49746.3
1573,Honda,2013.0,2.2,HYBRID,Manual,98743.0,3.0,3.0,315.0,0.0
904,Ford,2015.0,1.0,Hybrid,Automatic,192588.0,3.0,4.0,,24942.6
466,Honda,,4.4,ELECTRIC,Automatic,136066.0,3.0,2.0,188.0,45032.7
1978,BMW,2020.0,3.9,Diesel,Automatic,124720.0,3.0,3.0,140.0,49082.0
200,Tesla,2016.0,2800 cc,Petrol,Automatic,108134.0,2.0,4.0,258.0,45068.3
1207,Toyota,,4.3,Diesel,Manual,180778.0,3.0,1.0,,47515.1
1056,BMW,10,4.5,Diesel,Manual,109205.0,3.0,,172.0,49003.75
1132,Tesla,5,2.4,Electric,Automatic,,2.0,,,-10000.0
1380,Toyota,,1.4,Electric,Automatic,163145.0,,1.0,354.0,45894.75
999,Toyota,2006.0,2.6,Diesel,Manual,177751.0,3.0,,230.0,35503.45
728,BMW,2007.0,3.6,Petrol,Automatic,21911.0,,1.0,77.0,41790.45
1772,Toyota,2008.0,1.3,Diesel,Manual,72509.0,3.0,2.0,313.0,-10000.0
1910,Toyota,2006.0,4.0,Hybrid,Automatic,170355.0,,3.0,244.0,43059.25
1822,Honda,13,,Electric,Automatic,88071.0,4.0,2.0,,55149.45
568,Ford,2021.0,1800 cc,Petrol,Manual,112460.0,2.0,4.0,270.0,45123.0
44,BMW,2017.0,2.1,Electric,Automatic,134560.0,4.0,3.0,,46809.0
275,Ford,21,,Petrol,Automatic,62893.0,3.0,4.0,191.0,56563.35
1097,Toyota,2017.0,3.7,Petrol,Manual,44199.0,3.0,4.0,,50229.05
102,Toyota,2021.0,3.6,Diesel,Automatic,118766.0,3.0,1.0,272.0,57016.7
1232,Hyundai,2013.0,3.7,Hybrid,Automatic,,2.0,3.0,172.0,43069.9
1722,Hyundai,2010.0,1500 cc,Hybrid,Manual,189951.0,2.0,1.0,5000.0,31133.449999999997
1833,Hyundai,2023.0,4.8,Diesel,Manual,,2.0,4.0,,63551.95
108,BMW,,,Petrol,Automatic,49225.0,,1.0,345.0,66928.75
1618,Hyundai,2016.0,2300 cc,Electric,Automatic,111898.0,3.0,2.0,202.0,45085.1
498,Honda,,4.9,Petrol,Manual,25344.0,2.0,4.0,,58700.8
1981,Ford,16,4.1,Petrol,Manual,11869.0,2.0,3.0,284.0,60961.55
882,BMW,2023.0,4.0,Diesel,Automatic,163988.0,2.0,3.0,,49379.6
757,Hyundai,,,Diesel,Manual,59165.0,3.0,3.0,235.0,37167.75
620,BMW,2012.0,4.2,Petrol,Manual,999999.0,3.0,4.0,160.0,44007.75
1107,BMW,,2.4,Electric,Manual,,3.0,3.0,,-10000.0
1936,Toyota,,4.2,electric,Automatic,193874.0,3.0,2.0,83.0,32255.300000000003
810,Toyota,2020.0,4.3,Electric,Manual,131733.0,,1.0,,61221.35
1038,Honda,2012.0,2.3,Petrol,Manual,170413.0,3.0,3.0,329.0,41822.35
73,Honda,,4.5,Electric,Manual,165974.0,,2.0,,45407.3
1284,Tesla,,3.3,Petrol,Manual,33834.0,4.0,4.0,356.0,56084.3
1272,Toyota,,,Electric,Manual,7978.0,4.0,,,47625.1
1335,Honda,16,4.3,Diesel,Automatic,182218.0,3.0,4.0,367.0,53830.1
1459,BMW,,,Diesel,Manual,148635.0,,3.0,221.0,34788.25
482,BMW,2023.0,1.3,Diesel,Manual,,3.0,4.0,273.0,48707.0
1069,Toyota,8,2.1,Petrol,Automatic,103723.0,4.0,,,35945.85
507,Tesla,2021.0,4.8,Petrol,Manual,185891.0,3.0,3.0,319.0,62770.45
1238,Honda,2019.0,,Petrol,Automatic,134669.0,4.0,2.0,362.0,48730.55
1862,Tesla,5,2500 cc,Electric,Manual,151930.0,,,344.0,-10000.0
1990,Tesla,2012.0,4.3,Hybrid,Manual,198065.0,2.0,,331.0,52950.75
1477,Hyundai,2020.0,4.0,Electric,Automatic,,3.0,3.0,,58699.35
1867,Toyota,2006.0,3.6,Electric,Manual,,4.0,1.0,249.0,44351.15
1456,BMW,2018.0,,Electric,Manual,78143.0,2.0,1.0,230.0,53473.85
312,Hyundai,2016.0,3.2,PETROL,Automatic,37535.0,,4.0,,46605.25
963,Toyota,2009.0,,Petrol,Automatic,114920.0,3.0,2.0,,44518.0
406,Ford,2020.0,4100 cc,Petrol,Manual,94520.0,3.0,4.0,242.0,54962.0
1331,BMW,,1.9,Petrol,Manual,72445.0,2.0,,343.0,50479.75
1650,BMW,2010.0,1.8,Diesel,Automatic,,4.0,,325.0,41597.15
310,Tesla,2021.0,4.2,petrol,Manual,,4.0,4.0,130.0,51904.95
227,Honda,2020.0,1.9,Petrol,Manual,,2.0,4.0,,56892.55
1858,BMW,2008.0,2.4,Petrol,Automatic,,2.0,1.0,,43693.7
711,Ford,2019.0,2000 cc,Diesel,Manual,,,4.0,206.0,48387.05
1944,Toyota,2021.0,,Diesel,Automatic,,4.0,3.0,382.0,53738.95
1384,Tesla,15,3.6,Petrol,Automatic,13381.0,,1.0,371.0,61481.95
1786,Hyundai,,2200 cc,Electric,Automatic,146916.0,,,,34873.2
149,Ford,2014.0,,Hybrid,Manual,92793.0,3.0,4.0,311.0,40110.35
1555,Ford,,,Electric,Manual,140486.0,3.0,,5000.0,35481.7
1957,Honda,2023.0,1.9,electric,Manual,99024.0,2.0,4.0,286.0,48859.8
926,Tesla,2006.0,2.2,Petrol,Manual,111359.0,,4.0,137.0,31858.050000000003
943,Honda,2008.0,4300 cc,Electric,Manual,103557.0,3.0,1.0,186.0,44507.15
837,BMW,2022.0,,hybrid,Automatic,59304.0,3.0,3.0,323.0,61175.8
576,Toyota,2017.0,2.6,Hybrid,Automatic,11083.0,2.0,3.0,5000.0,53302.85
558,Honda,5,3.3,Petrol,Automatic,45409.0,3.0,1.0,270.0,45886.55
1236,Toyota,2005.0,2.6,DIESEL,Automatic,47679.0,4.0,2.0,,33584.05
1361,BMW,2023.0,1.7,petrol,Automatic,112408.0,4.0,2.0,,0.0
1348,Toyota,,,Petrol,Manual,190964.0,2.0,4.0,345.0,50432.8
1162,Hyundai,2013.0,1.7,Diesel,Manual,33024.0,2.0,,87.0,35377.8
1443,Honda,2009.0,3.3,Petrol,Automatic,,4.0,1.0,151.0,41580.15
287,BMW,2013.0,1.3,Electric,Manual,92238.0,4.0,2.0,87.0,28361.1
1605,Tesla,2022.0,,Hybrid,Automatic,116860.0,2.0,4.0,322.0,43997.0
1058,Toyota,2012.0,,Diesel,Manual,19123.0,2.0,2.0,,40797.85
599,BMW,2010.0,2.1,Diesel,Automatic,,2.0,1.0,245.0,39703.65
933,Toyota,2015.0,4600 cc,hybrid,Automatic,,4.0,4.0,,52417.9
1462,Honda,2012.0,4.6,Petrol,Automatic,169762.0,,2.0,348.0,52885.9
1638,Toyota,2010.0,,Electric,Automatic,123066.0,,,164.0,39074.7
1588,Ford,2008.0,4.0,Petrol,Automatic,77010.0,3.0,4.0,309.0,50334.5
1041,BMW,2020.0,1800 cc,ELECTRIC,Manual,,3.0,1.0,93.0,38409.7
1231,Toyota,2021.0,2.3,HYBRID,Automatic,147954.0,4.0,1.0,,42277.3
807,Toyota,2007.0,3.3,Hybrid,Automatic,182779.0,,,95.0,30467.050000000003
905,Honda,2023.0,4.9,Petrol,Automatic,134858.0,3.0,1.0,133.0,59732.1
1680,Hyundai,2012.0,3.2,Diesel,Automatic,146129.0,,4.0,101.0,35365.55
1205,Hyundai,16,1.9,diesel,Automatic,,,1.0,,50811.75
768,Tesla,2009.0,4300 cc,Hybrid,Manual,87912.0,3.0,4.0,341.0,51361.4
610,Tesla,2021.0,4.2,Diesel,Manual,197990.0,4.0,,269.0,51515.5
1993,Tesla,2007.0,2.9,Electric,Manual,7274.0,3.0,1.0,,51050.3
1565,Ford,,,Diesel,Automatic,,4.0,3.0,,-10000.0
1423,Tesla,2020.0,3.2,Petrol,Manual,163239.0,3.0,4.0,115.0,41287.05
1011,Toyota,2010.0,1.9,Electric,Manual,49518.0,4.0,1.0,392.0,52457.1
494,Ford,,5.0,Hybrid,Manual,83467.0,2.0,4.0,125.0,-10000.0
1321,Honda,,4.3,Petrol,Automatic,91576.0,3.0,,135.0,41275.2
278,Honda,2008.0,2.6,Hybrid,Automatic,85857.0,2.0,1.0,,45406.15
1847,Ford,2019.0,1.8,Petrol,Automatic,63031.0,2.0,2.0,117.0,39292.45
359,BMW,2021.0,,diesel,Automatic,,3.0,3.0,82.0,45999.3
1111,Ford,,3.9,Hybrid,Manual,,2.0,1.0,221.0,41972.65
237,Hyundai,2022.0,,Petrol,Manual,,,,71.0,-10000.0
552,Honda,,,DIESEL,Automatic,86371.0,2.0,3.0,,54516.45
1868,Ford,2014.0,3.4,Hybrid,Automatic,,2.0,4.0,220.0,51614.25
1813,Ford,,2.2,electric,Manual,47875.0,3.0,2.0,,55329.25
209,Tesla,,1.0,Hybrid,Automatic,140549.0,4.0,3.0,344.0,38048.55
1387,BMW,2015.0,,Electric,Automatic,67999.0,2.0,2.0,249.0,55196.05
1561,BMW,8,4.4,Diesel,Automatic,999999.0,4.0,4.0,,49795.45
59,Ford,2009.0,4.9,Petrol,Manual,100044.0,4.0,3.0,,45173.8
632,BMW,2012.0,2.0,Diesel,Automatic,12338.0,4.0,2.0,331.0,47239.1
1962,BMW,2005.0,2.9,Diesel,Manual,40050.0,2.0,2.0,134.0,37118.5
1860,Honda,2007.0,3.4,Hybrid,Automatic,,4.0,3.0,5000.0,42951.35
1817,BMW,2022.0,1.6,Diesel,Manual,,2.0,1.0,,54183.45
364,Toyota,,,Electric,Automatic,84415.0,4.0,1.0,201.0,37889.25
506,Honda,2012.0,4400 cc,Diesel,Automatic,116095.0,2.0,2.0,156.0,45364.25
1166,Hyundai,2018.0,4.5,Petrol,Manual,,4.0,2.0,267.0,60738.1
1122,Toyota,12,2.1,Diesel,Automatic,107537.0,3.0,,367.0,43230.15
1630,BMW,,4.0,Hybrid,Automatic,27462.0,2.0,3.0,225.0,46466.9
1217,BMW,2014.0,,hybrid,Manual,,,4.0,214.0,52181.0
1152,Ford,14,3100 cc,DIESEL,Automatic,98608.0,4.0,,230.0,48564.6
1125,Toyota,2022.0,3.5,Electric,Automatic,119915.0,2.0,3.0,212.0,49731.25
1595,Ford,5,2.5,Diesel,Manual,,4.0,1.0,164.0,35728.9
119,Toyota,2021.0,1.3,Electric,Automatic,44963.0,,3.0,238.0,45882.85
1250,BMW,6,2.4,Petrol,Manual,57870.0,3.0,1.0,182.0,35605.5
1994,Ford,2022.0,4.4,Electric,Manual,89390.0,4.0,4.0,179.0,53926.5
523,BMW,2019.0,4200 cc,Diesel,Automatic,105326.0,3.0,4.0,5000.0,59022.7
514,BMW,,2.1,Petrol,Automatic,101188.0,3.0,4.0,124.0,32855.6
82,Tesla,7,2.8,Hybrid,Manual,37161.0,2.0,1.0,,42436.95
916,Honda,2013.0,5.0,Petrol,Manual,20588.0,2.0,1.0,392.0,69174.6
1019,Ford,2011.0,1.6,Petrol,Manual,178108.0,2.0,,100.0,29023.6
381,Tesla,,3.7,Electric,Automatic,76667.0,,4.0,280.0,48318.65
1030,Honda,2010.0,3.6,Diesel,Manual,149507.0,,4.0,335.0,-10000.0
1689,BMW,2011.0,,Petrol,Manual,61792.0,4.0,4.0,343.0,50867.4
85,Tesla,2014.0,4.4,Hybrid,Manual,68190.0,3.0,1.0,309.0,60686.5
1678,Tesla,,,petrol,Manual,,3.0,,204.0,37355.65
330,Tesla,,3.4,Hybrid,Manual,122517.0,4.0,1.0,,52386.15
7,BMW,16,2.3,Petrol,Manual,7810.0,2.0,,267.0,52140.5
746,Ford,,,DIESEL,Manual,,2.0,3.0,261.0,40519.8
1554,BMW,2015.0,,diesel,Manual,109060.0,3.0,4.0,357.0,55962.0
915,Tesla,2012.0,,Hybrid,Automatic,5694.0,3.0,1.0,317.0,50214.3
874,Ford,2023.0,4.8,Petrol,Automatic,74519.0,2.0,2.0,332.0,0.0
452,Toyota,18,2100 cc,Electric,Automatic,191256.0,3.0,4.0,,35705.2
491,Tesla,2019.0,,Petrol,Manual,36533.0,3.0,,147.0,56320.35
1481,Honda,2017.0,3.3,Electric,Manual,156967.0,4.0,,204.0,49682.65
288,BMW,2013.0,3.6,Electric,Manual,199227.0,4.0,1.0,312.0,51347.65
949,BMW,15,,Hybrid,Manual,135632.0,3.0,,185.0,44960.4
1986,BMW,2016.0,1.3,Petrol,Manual,193088.0,4.0,4.0,305.0,34422.6
1369,Tesla,9,4.4,Electric,Automatic,14884.0,3.0,,,59839.8
1147,Hyundai,2012.0,1100 cc,Diesel,Manual,54632.0,4.0,4.0,285.0,37812.4
706,Hyundai,2023.0,5.0,Hybrid,Automatic,67576.0,,4.0,368.0,67918.2
1727,BMW,,1.5,hybrid,Manual,84993.0,2.0,1.0,218.0,41386.35
1702,BMW,,2.7,Electric,Manual,173217.0,4.0,2.0,,36990.15
1629,Hyundai,,3600 cc,Hybrid,Automatic,144032.0,2.0,,91.0,37906.4
1600,Tesla,6,4.8,Hybrid,Manual,92945.0,3.0,1.0,267.0,-10000.0
1539,Hyundai,,3600 cc,Hybrid,Automatic,,2.0,3.0,,63761.850000000006
1406,BMW,21,,hybrid,Automatic,22529.0,2.0,4.0,234.0,50875.55
1651,Honda,2011.0,3.9,Electric,Automatic,153890.0,3.0,1.0,,45953.5
328,Tesla,,4600 cc,Diesel,Manual,89853.0,3.0,1.0,332.0,61877.35
443,Tesla,11,3700 cc,Diesel,Manual,152702.0,2.0,2.0,315.0,46461.9
775,Toyota,2017.0,4.3,Diesel,Automatic,194123.0,4.0,,198.0,47298.85
1088,Honda,,1.1,Hybrid,Manual,,4.0,4.0,268.0,31959.9
1221,Hyundai,2013.0,,Hybrid,Manual,24515.0,4.0,4.0,256.0,44090.25
1636,Hyundai,,3.8,diesel,Automatic,,,,313.0,47969.2
178,Toyota,2017.0,2.4,electric,Manual,,3.0,4.0,127.0,34143.3
1323,Toyota,2021.0,1.5,Electric,Manual,,2.0,2.0,315.0,48990.6
705,Hyundai,,,Petrol,Automatic,163660.0,,4.0,5000.0,54963.0
87,Toyota,,3.7,Hybrid,Automatic,18275.0,3.0,4.0,207.0,51880.25
1884,Ford,2023.0,3.4,Petrol,Manual,78601.0,3.0,3.0,304.0,62499.95
1948,Hyundai,2017.0,2.4,Hybrid,Manual,163279.0,4.0,,172.0,41607.05
458,Honda,,2.8,Diesel,Automatic,999999.0,,1.0,77.0,42376.35
1829,Toyota,2013.0,2.7,Petrol,Automatic,,3.0,4.0,311.0,50944.65
55,Honda,18,3.5,Diesel,Manual,149735.0,4.0,4.0,,42775.25
1502,Honda,2018.0,,Petrol,Manual,999999.0,2.0,,93.0,37060.5
644,Tesla,2019.0,,Hybrid,Manual,188744.0,3.0,4.0,259.0,0.0
678,BMW,2005.0,,Diesel,Automatic,9001.0,2.0,3.0,241.0,-10000.0
222,Hyundai,2006.0,3.1,Hybrid,Automatic,10192.0,4.0,3.0,177.0,43582.4
114,Hyundai,2007.0,,Petrol,Automatic,56977.0,,1.0,5000.0,33300.15
983,Toyota,2006.0,,Diesel,Automatic,55624.0,4.0,1.0,302.0,41038.8
1229,BMW,2012.0,,Hybrid,Automatic,84720.0,3.0,1.0,350.0,59684.0
1000,Hyundai,2007.0,3.7,Hybrid,Manual,,3.0,3.0,,51833.2
175,BMW,2020.0,2.0,Petrol,Manual,60654.0,2.0,2.0,,42248.3
782,Tesla,,1.9,Petrol,Manual,195884.0,,3.0,379.0,39525.8
590,Toyota,2023.0,2.5,Diesel,Automatic,,4.0,1.0,160.0,53652.75
1560,Hyundai,2021.0,1.6,Petrol,Manual,140009.0,3.0,,5000.0,45341.55
19,Honda,2005.0,3600 cc,Electric,Automatic,94792.0,4.0,1.0,,44801.4
